,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
16,"frozenset({'Micromax 81cm (32) HD Ready LED TV  (32T6175MHD, 2 x HDMI, 2 x USB)'})",frozenset({'HDMI 1.0 Cable'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
17,frozenset({'HDMI 1.0 Cable'}),"frozenset({'Micromax 81cm (32) HD Ready LED TV  (32T6175MHD, 2 x HDMI, 2 x USB)'})",0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
18,frozenset({'Lazy Bone TV remote'}),"frozenset({'Micromax 81cm (32) HD Ready LED TV  (32T6175MHD, 2 x HDMI, 2 x USB)'})",0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
19,"frozenset({'Micromax 81cm (32) HD Ready LED TV  (32T6175MHD, 2 x HDMI, 2 x USB)'})",frozenset({'Lazy Bone TV remote'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
20,frozenset({'sofa'}),frozenset({'Nilkamal Ursa Metal Queen Bed'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
21,frozenset({'Nilkamal Ursa Metal Queen Bed'}),frozenset({'sofa'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
22,frozenset({'wardrobe'}),frozenset({'Nilkamal Ursa Metal Queen Bed'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
23,frozenset({'Nilkamal Ursa Metal Queen Bed'}),frozenset({'wardrobe'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
24,frozenset({'The haunting'}),frozenset({'Son of Frankenstein'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
25,frozenset({'Son of Frankenstein'}),frozenset({'The haunting'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
26,frozenset({'heels'}),frozenset({'eaing4'}),0.3,0.3,0.3,1.0,3.3333333333333335,0.21,inf,1.0
27,frozenset({'eaing4'}),frozenset({'heels'}),0.3,0.3,0.3,1.0,3.3333333333333335,0.21,inf,1.0
28,frozenset({'sofa'}),frozenset({'wardrobe'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
29,frozenset({'wardrobe'}),frozenset({'sofa'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
30,"frozenset({'Asian Casuals  (White, White)', 'Tshirt'})",frozenset({'Adidas MESSI 16.3 TF Football turf Shoes  (Blue)'}),0.1,0.1,0.1,1.0,10.0,0.09,inf,0.9999999999999999
31,"frozenset({'Asian Casuals  (White, White)', 'Adidas MESSI 16.3 TF Football turf Shoes  (Blue)'})",frozenset({'Tshirt'}),0.1,0.1,0.1,1.0,10.0,0.09,inf,0.9999999999999999
32,"frozenset({'Tshirt', 'Adidas MESSI 16.3 TF Football turf Shoes  (Blue)'})","frozenset({'Asian Casuals  (White, White)'})",0.1,0.1,0.1,1.0,10.0,0.09,inf,0.9999999999999999
33,"frozenset({'Asian Casuals  (White, White)'})","frozenset({'Tshirt', 'Adidas MESSI 16.3 TF Football turf Shoes  (Blue)'})",0.1,0.1,0.1,1.0,10.0,0.09,inf,0.9999999999999999
34,frozenset({'Tshirt'}),"frozenset({'Asian Casuals  (White, White)', 'Adidas MESSI 16.3 TF Football turf Shoes  (Blue)'})",0.1,0.1,0.1,1.0,10.0,0.09,inf,0.9999999999999999
35,frozenset({'Adidas MESSI 16.3 TF Football turf Shoes  (Blue)'}),"frozenset({'Asian Casuals  (White, White)', 'Tshirt'})",0.1,0.1,0.1,1.0,10.0,0.09,inf,0.9999999999999999
36,"frozenset({'EthnoVogue', 'heels'})",frozenset({'eaing4'}),0.3,0.3,0.3,1.0,3.3333333333333335,0.21,inf,1.0
37,"frozenset({'EthnoVogue', 'eaing4'})",frozenset({'heels'}),0.3,0.3,0.3,1.0,3.3333333333333335,0.21,inf,1.0
38,"frozenset({'heels', 'eaing4'})",frozenset({'EthnoVogue'}),0.3,0.3,0.3,1.0,3.3333333333333335,0.21,inf,1.0
39,frozenset({'EthnoVogue'}),"frozenset({'heels', 'eaing4'})",0.3,0.3,0.3,1.0,3.3333333333333335,0.21,inf,1.0
40,frozenset({'heels'}),"frozenset({'EthnoVogue', 'eaing4'})",0.3,0.3,0.3,1.0,3.3333333333333335,0.21,inf,1.0
41,frozenset({'eaing4'}),"frozenset({'EthnoVogue', 'heels'})",0.3,0.3,0.3,1.0,3.3333333333333335,0.21,inf,1.0
42,"frozenset({'The haunting', 'Ghosts of The Silent Hills: Stories based on true hauntings'})",frozenset({'Son of Frankenstein'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
43,"frozenset({'The haunting', 'Son of Frankenstein'})",frozenset({'Ghosts of The Silent Hills: Stories based on true hauntings'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
44,"frozenset({'Ghosts of The Silent Hills: Stories based on true hauntings', 'Son of Frankenstein'})",frozenset({'The haunting'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
45,frozenset({'The haunting'}),"frozenset({'Ghosts of The Silent Hills: Stories based on true hauntings', 'Son of Frankenstein'})",0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
46,frozenset({'Ghosts of The Silent Hills: Stories based on true hauntings'}),"frozenset({'The haunting', 'Son of Frankenstein'})",0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
47,frozenset({'Son of Frankenstein'}),"frozenset({'The haunting', 'Ghosts of The Silent Hills: Stories based on true hauntings'})",0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
48,"frozenset({'Lazy Bone TV remote', 'Micromax 81cm (32) HD Ready LED TV  (32T6175MHD, 2 x HDMI, 2 x USB)'})",frozenset({'HDMI 1.0 Cable'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
49,"frozenset({'HDMI 1.0 Cable', 'Micromax 81cm (32) HD Ready LED TV  (32T6175MHD, 2 x HDMI, 2 x USB)'})",frozenset({'Lazy Bone TV remote'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
50,"frozenset({'Lazy Bone TV remote', 'HDMI 1.0 Cable'})","frozenset({'Micromax 81cm (32) HD Ready LED TV  (32T6175MHD, 2 x HDMI, 2 x USB)'})",0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
51,"frozenset({'Micromax 81cm (32) HD Ready LED TV  (32T6175MHD, 2 x HDMI, 2 x USB)'})","frozenset({'Lazy Bone TV remote', 'HDMI 1.0 Cable'})",0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
52,frozenset({'Lazy Bone TV remote'}),"frozenset({'HDMI 1.0 Cable', 'Micromax 81cm (32) HD Ready LED TV  (32T6175MHD, 2 x HDMI, 2 x USB)'})",0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
53,frozenset({'HDMI 1.0 Cable'}),"frozenset({'Lazy Bone TV remote', 'Micromax 81cm (32) HD Ready LED TV  (32T6175MHD, 2 x HDMI, 2 x USB)'})",0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
54,"frozenset({'sofa', 'wardrobe'})",frozenset({'Nilkamal Ursa Metal Queen Bed'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
55,"frozenset({'sofa', 'Nilkamal Ursa Metal Queen Bed'})",frozenset({'wardrobe'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
56,"frozenset({'wardrobe', 'Nilkamal Ursa Metal Queen Bed'})",frozenset({'sofa'}),0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
57,frozenset({'sofa'}),"frozenset({'wardrobe', 'Nilkamal Ursa Metal Queen Bed'})",0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
58,frozenset({'wardrobe'}),"frozenset({'sofa', 'Nilkamal Ursa Metal Queen Bed'})",0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
59,frozenset({'Nilkamal Ursa Metal Queen Bed'}),"frozenset({'sofa', 'wardrobe'})",0.2,0.2,0.2,1.0,5.0,0.16,inf,0.9999999999999998
